symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate
GMDCLTD,466.6,468.6,469.55,466.3,60671,2.9499999999999886,0.6322331761680215,1.0,2025-09-05,09:50:00,507.5,509.15,507.5,180289,8.77,True,9.18,3.18,28.82
ABFRL,77.33,77.79,77.79,77.03,102735,0.46000000000000796,0.5948532264321841,1.0,2025-09-01,09:50:00,83.7,83.75,83.52,413875,8.24,True,8.69,3.01,28.82
GMDCLTD,405.55,406.4,407.85,405.15,21806,2.3000000000000114,0.5671310565898191,1.0,2025-09-01,09:50:00,432.65,432.95,432.1,54944,6.68,True,6.85,2.53,28.82
ASHOKLEY,127.02,132.4,132.66,126.87,1673279,5.640000000000001,4.440245630609353,1.0,2025-09-04,09:50:00,128.89,128.89,128.86,1730,1.47,True,4.56,2.52,28.82
RTNINDIA,59.14,59.46,59.48,59.14,54309,0.3399999999999963,0.5749070003381743,1.0,2025-09-05,09:50:00,62.09,62.14,61.99,122408,4.99,True,5.07,2.03,28.82
APTUS,331.2,339.2,339.5,328.85,24617402,8.300000000000011,2.5060386473429985,1.9536349221717317,2025-09-04,09:50:00,334.4,334.4,334.3,115,0.97,True,3.22,1.88,28.82
GMDCLTD,419.7,419.95,421.85,418.95,105820,2.150000000000034,0.51227066952586,1.6582827950417627,2025-09-01,09:50:00,432.65,432.95,432.1,54944,3.09,True,3.34,1.63,28.82
POLICYBZR,1911.4,1900.0,1974.0,1887.4,93410,62.59999999999991,3.2750863241602963,1.0,2025-09-04,09:50:00,1860.9,1861.4,1860.0,5170,-2.64,False,5.96,1.61,28.82
SAMMAANCAP,134.66,136.42,136.61,134.44,870437,1.950000000000017,1.4480914896777195,1.2147703317798126,2025-09-05,09:50:00,137.62,137.71,137.5,122143,2.2,True,2.43,1.6,28.82
SBILIFE,1831.2,1890.0,1890.0,1822.0,182361,58.799999999999955,3.211009174311924,1.0,2025-09-04,09:50:00,1788.5,1790.0,1787.9,14739,-2.33,False,5.58,1.58,28.82
GLENMARK,1940.9,1938.0,1955.0,1931.8,17918,14.099999999999909,0.726467102890407,1.0,2025-09-03,09:50:00,2004.5,2004.8,2002.0,13671,3.28,True,3.76,1.57,28.82
ICICIPRULI,620.75,640.0,640.0,617.5,148137,19.25,3.1010873942811115,1.0,2025-09-04,09:50:00,608.0,608.15,608.0,577,-2.05,False,5.16,1.54,28.82
ABFRL,83.31,83.33,83.77,82.93,77203,0.45999999999999375,0.5521546032889134,1.0,2025-09-05,09:50:00,86.05,86.09,86.0,72266,3.29,True,3.79,1.51,28.82
CIEINDIA,399.45,398.3,411.2,397.5,21222,11.75,2.9415446238578045,1.0,2025-09-02,09:50:00,398.0,399.5,397.8,2749,-0.36,False,3.43,1.48,28.82
BLUESTARCO,1984.0,2038.0,2040.0,1980.0,25168,56.0,2.82258064516129,1.0,2025-09-04,09:50:00,1960.8,1961.2,1960.8,32,-1.17,False,3.99,1.43,28.82
CAMPUS,283.2,290.0,290.85,282.0,102579,7.650000000000034,2.70127118644069,1.0,2025-09-04,09:50:00,276.95,276.95,276.0,5111,-2.21,False,5.24,1.38,28.82
MFSL,1620.6,1662.9,1662.9,1615.8,15349,42.30000000000018,2.6101443909663202,1.0,2025-09-04,09:50:00,1565.9,1566.0,1565.1,2460,-3.38,False,6.03,1.34,28.82
ASTERDM,615.35,626.4,626.4,615.35,22844,11.049999999999955,1.795726009588032,1.1828608414239483,2025-09-03,09:50:00,620.1,620.5,620.0,7623,0.77,True,1.8,1.3,28.82
STARHEALTH,482.05,494.0,494.0,480.0,361246,11.949999999999989,2.478995954776473,1.0,2025-09-04,09:50:00,444.3,446.35,443.75,31899,-7.83,False,10.42,1.29,28.82
FINPIPE,210.05,212.61,212.61,210.05,30249,2.5600000000000023,1.2187574387050712,0.8163197380494035,2025-09-01,09:50:00,213.9,214.12,213.9,22212,1.83,True,1.94,1.28,28.82
CAMPUS,264.6,266.25,266.3,264.45,12011,1.6999999999999886,0.642479213907781,0.5030047951085704,2025-09-05,09:50:00,272.25,272.3,272.2,2795,2.89,True,2.97,1.27,28.82
DELHIVERY,463.3,466.95,467.0,460.65,70481,3.6999999999999886,0.7986186056550807,1.0,2025-09-01,09:50:00,473.25,473.5,473.05,8078,2.15,True,2.77,1.26,28.82
SAMMAANCAP,137.3,139.3,140.43,137.1,627129,3.1299999999999955,2.27967953386744,1.0,2025-09-04,09:50:00,136.71,136.8,136.7,62679,-0.43,False,2.72,1.21,28.82
CAMPUS,266.2,266.75,267.75,264.0,35746,1.5500000000000114,0.5822689706987271,1.0,2025-09-05,09:50:00,272.25,272.3,272.2,2795,2.27,True,3.12,1.21,28.82
CHOLAFIN,1423.9,1431.2,1432.6,1423.9,11292,8.699999999999818,0.6109979633401094,1.0,2025-09-01,09:50:00,1452.9,1453.4,1452.5,5385,2.04,True,2.07,1.16,28.82
APTUS,317.0,318.5,318.7,317.0,21155,1.6999999999999886,0.5362776025236557,1.0,2025-09-02,09:50:00,323.7,324.0,323.2,6761,2.11,True,2.21,1.15,28.82
MAXHEALTH,1165.0,1189.0,1189.0,1165.0,63572,24.0,2.060085836909871,1.0,2025-09-04,09:50:00,1158.1,1158.6,1158.0,12097,-0.59,False,2.66,1.12,28.82
HDFCLIFE,758.8,764.0,773.0,757.8,153733,14.200000000000045,1.8713758566157153,1.0,2025-09-05,09:50:00,760.45,760.5,760.05,10041,0.22,True,2.0,1.11,28.82
LICI,892.45,910.0,910.0,891.45,217860,17.549999999999955,1.9664967225054575,1.0,2025-09-04,09:50:00,877.05,877.6,876.7,15429,-1.73,False,3.73,1.09,28.82
RTNINDIA,61.49,61.12,61.9,61.12,368416,0.4099999999999966,0.666775085379731,1.7430528121118931,2025-09-05,09:50:00,62.09,62.14,61.99,122408,0.98,True,1.66,1.08,28.82
SAMMAANCAP,134.91,135.77,135.78,134.81,462852,0.8700000000000045,0.6448743606849044,0.69517547153375,2025-09-05,09:50:00,137.62,137.71,137.5,122143,2.01,True,2.15,1.07,28.82
ICICIGI,1884.2,1900.0,1920.0,1871.8,54700,35.799999999999955,1.9000106145844367,1.0,2025-09-04,09:50:00,1864.6,1865.5,1864.0,687,-1.04,False,2.97,1.06,28.82
APOLLOTYRE,478.55,481.1,481.15,477.5,50489,2.599999999999966,0.5433079093093649,1.0,2025-09-02,09:50:00,486.95,487.0,486.75,48714,1.76,True,1.99,1.05,28.82
GRANULES,507.35,509.95,509.95,507.1,78111,2.599999999999966,0.5124667389376103,1.0,2025-09-01,09:50:00,516.5,517.75,515.85,58961,1.8,True,2.1,1.04,28.82
NIACL,208.05,210.49,211.9,207.9,474946,3.8499999999999943,1.8505167027156904,1.0,2025-09-04,09:50:00,199.6,200.93,199.6,42240,-4.06,False,5.91,1.04,28.82
VOLTAS,1443.5,1470.0,1470.0,1439.9,52938,26.5,1.8358157256667822,1.0,2025-09-04,09:50:00,1401.1,1403.0,1401.1,9214,-2.94,False,4.77,1.03,28.82
BHARATFORG,1144.2,1165.0,1165.0,1136.0,16337,20.799999999999955,1.8178640097884946,1.0,2025-09-04,09:50:00,1140.1,1140.5,1140.1,67,-0.36,False,2.53,1.03,28.82
HDFCLIFE,788.9,803.0,803.0,787.0,350442,14.100000000000023,1.787298770439856,1.0,2025-09-04,09:50:00,762.65,762.85,762.0,9891,-3.33,False,5.2,1.01,28.82
APTUS,339.05,340.45,345.0,337.5,584238,5.949999999999989,1.7549034065771976,1.0,2025-09-04,09:50:00,334.4,334.4,334.3,115,-1.37,False,3.16,1.0,28.82
RTNINDIA,61.96,61.6,62.5,61.54,786219,0.5399999999999991,0.8715300193673324,1.951006001932265,2025-09-05,09:50:00,62.09,62.14,61.99,122408,0.21,True,1.55,1.0,28.82
MARICO,742.3,754.75,754.75,740.8,101124,12.450000000000045,1.6772194530513331,1.0,2025-09-04,09:50:00,738.1,738.25,737.75,13342,-0.57,False,2.29,0.97,28.82
CAMPUS,293.45,288.1,297.0,288.05,424729,3.5500000000000114,1.2097461237008047,1.6109332686020315,2025-09-04,09:50:00,276.95,276.95,276.0,5111,-5.62,False,7.16,0.97,28.82
GICRE,365.05,365.85,366.95,365.05,13893,1.8999999999999773,0.5204766470346466,1.0,2025-09-01,09:50:00,370.45,370.55,370.4,2082,1.48,True,1.51,0.95,28.82
APTUS,328.05,327.9,331.35,326.2,62079,3.3000000000000114,1.0059442158207623,1.0,2025-09-03,09:50:00,330.75,330.75,330.2,3869,0.82,True,1.57,0.95,28.82
SBFC,105.23,105.75,105.84,105.22,30722,0.6099999999999994,0.5796826000190054,1.0,2025-09-05,09:50:00,106.71,106.94,106.7,3442,1.41,True,1.63,0.95,28.82
RTNINDIA,63.44,63.4,64.0,63.34,1159969,0.5600000000000023,0.8827238335435093,1.958651921788601,2025-09-05,09:50:00,62.09,62.14,61.99,122408,-2.13,False,3.17,0.94,28.82
BAJFINANCE,886.5,892.7,892.7,885.55,67335,6.2000000000000455,0.6993795826283188,1.0,2025-09-03,09:50:00,896.1,896.65,895.55,102750,1.08,True,1.25,0.9,28.82
EXIDEIND,413.35,415.05,415.45,413.2,18992,2.099999999999966,0.5080440304826336,1.0,2025-09-03,09:50:00,418.8,419.75,418.8,24763,1.32,True,1.58,0.9,28.82
