symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,probability_score,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate
CLEAN,1090.0,1111.0,1115.5,1078.1,3189175,25.5,2.3394495412844036,1.8257733062430692,80.0,2025-08-21,09:50:00,1149.8,1150.0,1148.5,24055,5.49,True,6.6,1.82,40.28
CLEAN,1109.1,1125.0,1148.0,1091.1,2317007,38.90000000000009,3.507348300423776,1.0,80.0,2025-08-21,09:50:00,1149.8,1150.0,1148.5,24055,3.67,True,5.31,1.51,40.28
ACI,669.8,672.95,684.5,668.25,46856,14.700000000000045,2.1946849805912283,1.0,70.0,2025-08-13,09:50:00,694.05,698.05,694.05,7338,3.62,True,4.45,1.33,40.28
BLUESTARCO,1754.5,1735.2,1772.2,1735.2,23945,17.700000000000045,1.008834425762328,1.0,70.0,2025-08-07,09:50:00,1825.8,1830.7,1823.5,8327,4.06,True,5.44,1.31,40.28
BLS,384.85,389.0,389.0,384.8,72383,4.149999999999977,1.078342211251131,1.0,60.0,2025-08-05,09:50:00,400.05,400.95,399.85,32685,3.95,True,4.2,1.25,40.28
FINPIPE,193.21,197.86,197.86,192.76,51711,4.650000000000006,2.406707727343308,1.0,80.0,2025-08-04,09:50:00,198.6,199.5,198.1,13951,2.79,True,3.49,1.23,40.28
CCL,842.0,855.0,869.35,821.2,71475,27.350000000000023,3.248218527315917,1.0,80.0,2025-08-06,09:50:00,862.1,862.85,860.95,2371,2.39,True,5.72,1.23,40.28
ADANIPOWER,558.65,561.1,564.65,558.0,124041,6.0,1.0740177212924014,1.0,60.0,2025-08-07,09:50:00,580.0,580.4,579.55,31470,3.82,True,4.01,1.22,40.28
CCL,832.4,841.75,844.0,831.25,58069,11.600000000000023,1.3935607880826553,0.8965139257703946,60.0,2025-08-06,09:50:00,862.1,862.85,860.95,2371,3.57,True,3.8,1.19,40.28
FEDERALBNK,191.2,185.8,192.99,185.11,1856677,1.7900000000000205,0.9361924686192575,1.0,70.0,2025-08-04,09:50:00,196.54,196.69,196.4,215435,2.79,True,6.06,1.05,40.28
HAVELLS,1533.3,1525.0,1582.0,1524.6,119957,48.700000000000045,3.176156003391381,1.0,80.0,2025-08-18,09:50:00,1553.2,1553.8,1552.6,7722,1.3,True,3.74,1.01,40.28
BLUESTARCO,1894.2,1850.0,1939.6,1850.0,77066,45.399999999999864,2.396790201668243,1.0,100.0,2025-08-18,09:50:00,1913.5,1915.2,1913.3,4590,1.02,True,4.73,0.98,40.28
HINDPETRO,399.7,404.4,404.4,399.55,300307,4.699999999999989,1.1758819114335723,0.9960695474506787,60.0,2025-08-08,09:50:00,409.55,409.6,409.0,31317,2.46,True,2.51,0.96,40.28
CHAMBLFERT,519.1,523.05,524.45,518.0,53795,5.350000000000023,1.0306299364284381,1.0,60.0,2025-08-04,09:50:00,532.15,532.3,532.1,14161,2.51,True,2.75,0.95,40.28
IFCI,52.35,53.2,53.49,52.1,338292,1.1400000000000006,2.177650429799428,1.0,80.0,2025-08-11,09:50:00,53.11,53.33,53.1,34462,1.45,True,2.66,0.95,40.28
APTUS,331.2,339.2,339.5,328.85,24617402,8.300000000000011,2.5060386473429985,1.9536349221717317,80.0,2025-09-04,09:50:00,334.4,334.4,334.3,115,0.97,True,3.22,0.94,40.28
SAMMAANCAP,134.66,136.42,136.61,134.44,870437,1.950000000000017,1.4480914896777195,1.2147703317798126,60.0,2025-09-05,09:50:00,137.62,137.71,137.5,122143,2.2,True,2.43,0.94,40.28
CAMPUS,253.05,257.0,258.9,249.75,30542,5.849999999999966,2.311796087729684,1.0,70.0,2025-08-14,09:50:00,255.35,255.85,255.05,6251,0.91,True,3.62,0.8,40.28
ASTRAL,1323.7,1310.1,1356.7,1290.0,238369,33.0,2.4930120117851473,1.0,100.0,2025-08-12,09:50:00,1270.4,1271.2,1269.9,32805,-4.03,False,6.56,0.78,40.28
ADANIPOWER,587.85,590.55,591.0,587.85,61623,3.1499999999999773,0.5358509823934638,1.0,50.0,2025-08-29,09:50:00,600.2,600.4,600.0,9238,2.1,True,2.13,0.78,40.28
POLICYBZR,1911.4,1900.0,1974.0,1887.4,93410,62.59999999999991,3.2750863241602963,1.0,80.0,2025-09-04,09:50:00,1860.9,1861.4,1860.0,5170,-2.64,False,5.96,0.75,40.28
CASTROLIND,208.36,210.8,211.0,208.36,52676,2.6399999999999864,1.2670378191591412,1.0,60.0,2025-08-11,09:50:00,211.1,211.1,210.79,5388,1.32,True,1.32,0.74,40.28
COFORGE,1632.5,1682.0,1682.0,1613.9,143203,49.5,3.0321592649310873,1.0,80.0,2025-08-08,09:50:00,1604.2,1604.9,1603.8,23002,-1.73,False,4.79,0.73,40.28
ABFRL,76.19,76.84,76.84,76.06,90901,0.6500000000000057,0.8531303320645828,1.0,50.0,2025-08-19,09:50:00,77.36,77.36,77.28,55141,1.54,True,1.71,0.69,40.28
APTUS,334.9,329.0,336.8,327.65,55094,1.900000000000034,0.5673335323977409,1.0,70.0,2025-08-01,09:50:00,338.3,338.6,336.7,21584,1.02,True,3.27,0.67,40.28
HUDCO,210.89,214.0,215.9,210.1,778082,5.010000000000019,2.3756460714116456,1.0,80.0,2025-08-07,09:50:00,210.48,210.55,210.39,45715,-0.19,False,2.75,0.67,40.28
