symbol,current_price,current_high,current_low,current_volume,recent_high,avg_volume,breakout_pct,volume_ratio,breakout_score
RTNINDIA,62.48,62.85,62.4,572581,61.72,12287.949333333334,1.83,46.6,15.01
BALRAMCHIN,579.85,580.4,579.05,19045,557.7,666.6266666666667,4.07,28.57,10.5
GMDCLTD,425.1,427.1,423.9,119410,420.95,3942.574666666667,1.46,30.29,9.97
BATAINDIA,1232.0,1232.9,1230.0,15360,1188.0,633.6328888888889,3.78,24.24,9.08
CAMPUS,284.3,284.9,284.3,14682,273.0,762.4942222222222,4.36,19.26,7.82
APOLLOTYRE,482.85,483.1,482.05,39463,471.5,2025.1528888888888,2.46,19.49,7.13
EIHOTEL,413.4,413.7,412.2,13159,407.9,640.0008888888889,1.42,20.56,7.04
HEG,508.5,509.0,507.3,28453,498.0,1666.5297777777778,2.21,17.07,6.31
DEVYANI,180.93,180.98,180.6,53098,178.5,3183.941333333333,1.39,16.68,5.86
GPIL,243.25,243.25,242.51,65490,239.56,4336.757333333333,1.54,15.1,5.45
