symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,probability_score,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate,processed_by,business_rules_applied
EIHOTEL,411.15,405.0,413.6,404.7,63865,2.4500000000000455,0.5958895780129018,1.0,70.0,2025-09-03,09:50:00,413.1,413.65,412.6,6961,0.47,True,2.18,0.56,60.0,ScannerService,True
APTUS,328.05,327.9,331.35,326.2,62079,3.3000000000000114,1.0059442158207623,1.0,60.0,2025-09-03,09:50:00,330.75,330.75,330.2,3869,0.82,True,1.57,0.61,60.0,ScannerService,True
ASTERDM,615.35,626.4,626.4,615.35,22844,11.049999999999955,1.795726009588032,1.1828608414239483,50.0,2025-09-03,09:50:00,620.1,620.5,620.0,7623,0.77,True,1.8,0.64,60.0,ScannerService,True
BAJFINANCE,886.5,892.7,892.7,885.55,67335,6.2000000000000455,0.6993795826283188,1.0,50.0,2025-09-03,09:50:00,896.1,896.65,895.55,102750,1.08,True,1.25,0.59,60.0,ScannerService,True
IIFL,439.9,442.95,442.95,438.9,74360,3.0500000000000114,0.6933393953171201,1.6753218956641245,50.0,2025-09-03,09:50:00,436.0,436.85,435.85,112777,-0.89,False,1.61,0.41,60.0,ScannerService,True
ASHOKLEY,130.19,131.47,131.48,130.17,544201,1.289999999999992,0.9908595130194271,0.8938332680451909,50.0,2025-09-03,09:50:00,130.25,130.27,130.14,171262,0.05,True,1.03,0.4,60.0,ScannerService,True
BHARTIARTL,1881.1,1891.0,1891.0,1881.0,66619,9.900000000000091,0.5262878103237516,1.0,50.0,2025-09-03,09:50:00,1883.1,1884.4,1882.9,17659,0.11,True,0.53,0.38,60.0,ScannerService,True
ASHOKLEY,131.47,131.8,132.38,131.36,673478,0.9099999999999966,0.6921731193428132,1.0,50.0,2025-09-03,09:50:00,130.25,130.27,130.14,171262,-0.93,False,1.7,0.37,60.0,ScannerService,True
INFY,1491.2,1500.0,1501.9,1489.5,59587,10.700000000000045,0.7175429184549387,1.0,50.0,2025-09-03,09:50:00,1478.8,1479.2,1478.5,46384,-0.83,False,1.57,0.37,60.0,ScannerService,True
ABFRL,82.75,83.2,83.23,82.48,69001,0.480000000000004,0.5800604229607298,1.0,50.0,2025-09-03,09:50:00,81.3,81.4,81.28,50555,-1.75,False,2.36,0.36,60.0,ScannerService,True
