symbol,current_price,open_price,current_high,current_low,current_volume,recent_high,recent_low,avg_volume,consolidation_range_pct,breakout_pct,volume_ratio,basic_breakout_score,breakout_score,confidence_score,volume_multiplier,breakout_signal,risk_level,trading_bias
USHAMART,387.6,386.2,387.6,385.75,5566,383.0,374.0,742.3626666666667,2.3719240098798537,1.2,7.5,2.89,2.89,0.0,1.0,STRONG_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
RBLBANK,275.8,275.9,276.0,275.7,40614,271.7,265.2,13257.858666666667,2.43710031554825,1.58,3.06,1.71,1.71,0.0,1.0,WEAK_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
ZYDUSLIFE,1032.4,1032.0,1032.75,1031.6,6154,1017.4,1002.5,2762.9866666666667,1.4784059463273125,1.51,2.23,1.48,1.48,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
LTF,232.24,232.55,232.71,232.24,40606,230.2,226.0,16162.850666666667,1.8404815494353892,1.09,2.51,1.38,1.38,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
ELECON,553.35,552.85,553.7,552.85,64,572.0,552.0,447.41059602649005,3.572677534502859,-3.2,0.14,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
CHAMBLFERT,561.8,562.0,562.25,561.5,5170,580.7,538.45,5526.815169366716,7.549736705638101,-3.18,0.94,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
BLUESTARCO,1952.0,1950.7,1952.0,1950.7,223,2040.0,1875.0,1066.0921149594694,8.471456803402166,-4.31,0.21,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
CDSL,1531.8,1531.5,1531.9,1530.2,8044,1543.3,1431.3,5363.213706705969,7.468185986645571,-0.74,1.5,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
CUB,197.7,197.7,197.7,197.62,38,201.68,194.16,3129.9551140544518,3.788336141065157,-1.97,0.01,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
DELHIVERY,470.0,469.8,470.0,469.7,16453,485.7,459.05,7261.8749080206035,5.607096608038893,-3.23,2.27,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
EMAMILTD,603.75,602.4,603.75,602.4,664,618.0,571.5,2361.233995584989,7.844806808900294,-2.31,0.28,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
HDFCBANK,958.85,959.0,959.35,958.85,15331,960.4,940.0,43689.0568383659,2.150828808431623,-0.11,0.35,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
HINDALCO,744.05,744.2,744.75,744.05,8328,745.0,702.4,14143.813509544787,5.8673989201661,-0.03,0.59,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,NEUTRAL
HOMEFIRST,1269.0,1267.3,1269.0,1267.3,223,1276.5,1212.0,508.5117474302496,5.190219423824142,-0.59,0.44,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
HSCL,457.55,457.9,457.95,457.55,432,471.45,447.4,1379.4779735682819,5.228366852229812,-2.86,0.31,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
MANAPPURAM,286.2,286.0,286.3,285.95,7781,290.55,283.1,7356.712,2.6130790980796696,-1.46,1.06,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
JBMA,613.75,613.05,613.85,613.05,722,634.4,605.0,994.96,4.773875276067463,-3.24,0.73,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
JUBLFOOD,655.85,655.35,656.25,655.3,611,664.05,640.0,6673.765333333334,3.6643420060664997,-1.17,0.09,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
OIL,394.75,394.1,394.75,394.05,1958,403.75,392.75,3266.9973333333332,2.7758897988573428,-2.23,0.6,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
PETRONET,274.2,274.15,274.3,274.15,610,279.25,273.7,3523.458666666667,2.0134257405053395,-1.77,0.17,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
PHOENIXLTD,1509.2,1508.3,1509.5,1508.3,989,1540.7,1491.1,4798.690666666666,3.292608253790002,-2.03,0.21,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
PPLPHARMA,201.8,201.69,201.9,201.65,19592,203.5,197.2,13602.930666666667,3.1670301769381295,-0.79,1.44,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
RTNINDIA,62.48,62.78,62.85,62.4,572581,61.72,58.5,12287.949333333334,5.380366274839359,1.83,46.6,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
SUNDRMFAST,1025.0,1024.4,1025.0,1024.4,13,1029.0,1013.9,1167.952,1.4805098235258443,-0.39,0.01,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
VGUARD,365.85,366.2,366.2,365.85,200,367.7,358.5,626.5866666666667,2.5278697641497505,-0.41,0.32,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
ZEEL,115.8,115.94,116.04,115.8,54171,117.9,114.33,15388.490666666667,3.0652884107255294,-1.58,3.52,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
AMBUJACEM,570.85,570.8,570.9,570.65,218,596.3,563.45,6985.554054054054,5.762839862243498,-4.26,0.03,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
BERGEPAINT,536.8,537.25,537.75,536.0,781,550.0,532.8,951.3060471976402,3.168526018357277,-2.23,0.82,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
BIOCON,363.3,363.25,363.4,363.15,5848,364.55,346.8,5838.1814159292035,4.9971556345426436,-0.32,1.0,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
CAMPUS,268.75,268.85,268.9,268.6,2277,297.0,261.0,3828.588061901253,13.373778802921954,-9.46,0.59,0.0,0.0,0.0,1.0,NO_BREAKOUT,HIGH_RISK,SIDEWAYS_BREAKOUT
CESC,154.05,153.99,154.09,153.99,1211,158.43,152.33,3305.9970544918997,3.9234958566902303,-2.74,0.37,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
DEVYANI,181.79,181.8,182.0,181.79,16391,182.7,173.19,7407.000735835173,5.398059193207934,-0.38,2.21,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,NEUTRAL
DEEPAKFERT,1441.8,1440.0,1441.8,1440.0,706,1487.9,1383.2,754.5651214128035,7.30242283477952,-3.1,0.94,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
GODREJCP,1247.3,1247.1,1247.3,1246.3,1527,1309.0,1232.3,4228.028655400441,6.056592333868091,-4.71,0.36,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
GRINDWELL,1602.0,1602.9,1602.9,1602.0,57,1620.3,1515.0,364.31640912435614,6.597916536224653,-1.07,0.16,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
HAPPSTMNDS,566.5,566.35,566.8,566.35,54,577.1,562.75,474.6590742101396,2.5153665794525386,-1.78,0.11,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
NATIONALUM,208.8,208.89,208.99,208.74,9974,209.3,204.5,21586.488,2.314968431547162,-0.15,0.46,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
ABCAPITAL,283.4,283.25,283.5,283.25,26575,283.8,272.7,10751.082582582583,3.989190344266391,-0.11,2.47,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
